epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,68023.8,1.5636,0.72942,0.0048,0.87991,0.843,0.90198,0.4403,1.577,0.66297,0.00579,0.000528272,0.000528272,0.000528272
71,69575.9,1.55215,0.71783,0.00474,0.86739,0.8667,0.88844,0.42694,1.6041,0.65842,0.00591,0.000511769,0.000511769,0.000511769
72,72135.3,1.55425,0.72329,0.00466,0.86479,0.86266,0.90114,0.42394,1.60186,0.67798,0.00591,0.000495266,0.000495266,0.000495266
73,74296,1.55492,0.70319,0.00477,0.87467,0.86273,0.89963,0.43297,1.57273,0.67011,0.00577,0.000478762,0.000478762,0.000478762
74,76262.5,1.53372,0.71306,0.00479,0.88465,0.85092,0.89302,0.42444,1.59483,0.67065,0.00587,0.000462259,0.000462259,0.000462259
75,77521.4,1.52125,0.68161,0.00463,0.87718,0.87302,0.88945,0.42201,1.59987,0.6774,0.00591,0.000445756,0.000445756,0.000445756
76,78369.5,1.53171,0.68002,0.0047,0.86809,0.86793,0.89065,0.42726,1.60873,0.64805,0.00592,0.000429253,0.000429253,0.000429253
77,81448.5,1.5328,0.68935,0.00458,0.87733,0.86665,0.88559,0.42642,1.61257,0.63003,0.00592,0.000412749,0.000412749,0.000412749
78,84910.2,1.53586,0.69865,0.0046,0.87215,0.86868,0.88664,0.42487,1.60537,0.69449,0.00592,0.000396246,0.000396246,0.000396246
79,86214.9,1.5097,0.68471,0.00468,0.87125,0.85561,0.88548,0.42808,1.59681,0.66546,0.00587,0.000379743,0.000379743,0.000379743
80,87527.6,1.52611,0.67024,0.00463,0.873,0.88064,0.88323,0.42227,1.60834,0.68057,0.00593,0.000363239,0.000363239,0.000363239
81,88885.7,1.50538,0.65604,0.00459,0.86566,0.86362,0.88027,0.42522,1.6067,0.64319,0.00593,0.000346736,0.000346736,0.000346736
82,91794.2,1.51631,0.67174,0.00463,0.84733,0.86222,0.87597,0.41388,1.61839,0.65511,0.00597,0.000330233,0.000330233,0.000330233
83,93385.7,1.49196,0.65064,0.00456,0.87271,0.86265,0.88858,0.42154,1.61405,0.65524,0.00595,0.000313729,0.000313729,0.000313729
